search_key,job_name,company_name,job_location,location,post_time,salary,others,skills
business analyst,"Business Analyst, Logistics",Dr. Schär,"Swedesboro, NJ (On-site)","Swedesboro, NJ",2 months ago,"$70,000/yr - $75,000/yr","['$70K/yr - $75K/yr', 'On-site', 'Full-time']","['Business Analysis', 'Facilities', 'Learning', 'Operations', 'Reporting', 'SAP Electronic Data Interchange (EDI)', 'Skill Development', 'Transaction Monitoring', 'VBA Excel', 'Warehouse Management']"
business analyst,2025 Global Finance & Business Management Analyst Program – Summer Analyst (Insights Programs),JPMorganChase,"Columbus, OH","Columbus, OH",Reposted 2 weeks ago,0,['Full-time'],"['Analytical Skills', 'Budgeting & Forecasting', 'Business Management', 'Data Analytics', 'Financial Analysis', 'Financial Management', 'Global Finance', 'Problem Solving', 'Quantitative Analytics', 'Strategic Analysis']"
business analyst,"Business Analyst, AMZL ORBIT",Amazon,"Austin, TX","Austin, TX",Reposted 1 week ago,"$66,900/yr - $143,100/yr (from job description)","['$66.9K/yr - $143.1K/yr', 'Full-time']","['Analytical Skills', 'Business Analysis', 'Business Insights', 'Business Requirements', 'Communication', 'Data Analysis', 'Data Management', 'Defining Requirements', 'End to End Delivery', 'Interpersonal Skills']"
business analyst,Business Analyst,Tata Consultancy Services,"Cary, NC (On-site)","Cary, NC",1 week ago,"$100,000/yr - $125,000/yr","['$100K/yr - $125K/yr', 'On-site', 'Full-time', 'Mid-Senior level']","['Business Analysis', 'Insurance', 'Testing']"
business analyst,"2025 Global Finance & Business Management Analyst Program – Summer Analyst (DE, IL, OH, TX)",JPMorganChase,"Columbus, OH","Columbus, OH",Reposted 2 weeks ago,0,['Full-time'],"['Analytical Skills', 'Budgeting & Forecasting', 'Data Analytics', 'Financial Analysis', 'Financial Management', 'Global Finance', 'Problem Solving', 'Project Management', 'Quantitative Analytics', 'Strategic Analysis']"
business analyst,Business Analyst,Confidential Jobs,"Miami, FL (On-site)","Miami, FL",5 days ago,"$100,000/yr - $115,000/yr","['$100K/yr - $115K/yr', 'On-site', 'Full-time', 'Mid-Senior level']","['Analytical Skills', 'Communication', 'Critical Thinking', 'Performance Improvement']"
business analyst,Business Analyst,Apex Systems,"Austin, Texas Metropolitan Area (Hybrid)","Austin, Texas Metropolitan Area",Over 100 applicants,0,"['Hybrid', 'Contract', 'Mid-Senior level']","['Business Analysis', 'Business Process Mapping', 'Business Requirements', 'IT Business Analysis', 'Jira', 'Process Mapping', 'Requirements Gathering', 'Technical Requirements Gathering']"
business analyst,Business Analyst,Hillwood,"Dallas, TX (On-site)","Dallas, TX",Reposted 2 weeks ago,0,"['On-site', 'Full-time', 'Mid-Senior level']","['Accounting Software', 'Business Analysis', 'Business Process', 'Business Process Improvement', 'Communication', 'Database Management System (DBMS)', 'Information Technology', 'JD Edwards', 'Procore', 'Real-time Data']"
business analyst,Business Analyst-Tx,ATC,"Texas, United States (On-site)","Texas, United States",1 day ago,0,"['On-site', 'Full-time', 'Entry level']","['Analytical Skills', 'Business Analysis', 'Business Requirements', 'Data Analysis', 'Documentation', 'Product Service', 'Requirements Gathering', 'Software Development Life Cycle (SDLC)', 'Use Cases', 'User Stories']"
business analyst,Business Analyst -- Entry Level,CGI,"Dallas, TX","Dallas, TX",Reposted 2 weeks ago,"$54,400/yr - $89,700/yr (from job description)","['$54.4K/yr - $89.7K/yr', 'Full-time', 'Entry level']","['Client Presentation', 'Communication', 'Computer Science', 'IT Management', 'Management Information Systems (MIS)', 'Office 365', 'Presentation Skills', 'Presentations', 'Technology Management', 'User Stories']"
business analyst,Business Analyst (Intern) United States,Cisco,"North Carolina, United States (On-site)","North Carolina, United States",6 days ago,"$44,000/yr - $130,000/yr","['$44K/yr - $130K/yr', 'On-site', 'Internship']","['Analytical Skills', 'Business Analysis', 'Business Process', 'Business Process Improvement', 'Business Requirements', 'Communication', 'Data Analytics', 'Manufacturing Process Improvement', 'Problem Solving', 'Teamwork']"
business analyst,Business Analyst,Addison Group,"Austin, TX (Hybrid)","Austin, TX",3 weeks ago,0,"['Hybrid', 'Full-time', 'Mid-Senior level']","['Financial Reporting', 'Microsoft Power BI', 'User Stories']"
business analyst,"Business Analyst, Equities",Jefferies,"New York, NY","New York, NY",Reposted 2 weeks ago,"$150,000/yr - $200,000/yr (from job description)","['$150K/yr - $200K/yr', 'Full-time', 'Mid-Senior level']","['Business Process', 'Business Requirements', 'Communication', 'Conflict Resolution', 'Documentation', 'Financial Understanding', 'Functional Requirements', 'Problem Solving', 'Project Management', 'Project Plans']"
business analyst,Business Analyst,Kforce Inc,"North Palm Beach, FL (On-site)","North Palm Beach, FL",Reposted 3 weeks ago,$30/hr - $40/hr,"['$30/hr - $40/hr', 'On-site', 'Contract', 'Associate']","['Analytical Skills', 'Business Analysis', 'Business Process', 'Coaching', 'Coaching & Mentoring', 'Problem Solving', 'Process Analysis', 'Requirements Gathering', 'Statistical Analysis', 'User Acceptance Testing']"
business analyst,Business Analyst,Vertical Bridge,"Boca Raton, FL (On-site)","Boca Raton, FL",3 weeks ago,0,"['On-site', 'Full-time', 'Associate']","['Analytical Skills', 'Business Analysis', 'Business Analytics', 'Business Requirements', 'Data Modeling', 'Process Mapping', 'Reporting Metrics', 'Strategic Thinking']"
business analyst,Business Analyst (Intern) United States,Cisco,"San Jose, CA (On-site)","San Jose, CA",6 days ago,"$44,000/yr - $130,000/yr","['$44K/yr - $130K/yr', 'On-site', 'Internship']","['Analytical Skills', 'Business Analysis', 'Business Process', 'Business Process Improvement', 'Business Requirements', 'Communication', 'Data Analytics', 'Manufacturing Process Improvement', 'Problem Solving', 'Teamwork']"
business analyst,Business Analyst,AllianceBernstein,"Nashville, TN (Hybrid)","Nashville, TN",2 weeks ago,0,"['Hybrid', 'Full-time', 'Mid-Senior level']","['Attention to Detail', 'Business Documentation', 'Business Process', 'Business Requirements', 'CRM Program Management', 'Documentation', 'Large Scale Change Management', 'Product Road Mapping', 'Project Plans', 'Technical Requirements']"
