search_key,job_name,company_name,job_location,location,post_time,salary,others,skills
business analyst,Business Immigration Analyst (Writer),Fragomen,"Dallas, TX (Hybrid)","Dallas, TX",Reposted 2 weeks ago,0,"['Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Entry level']","['Employment-based Immigration', 'Global Immigration', 'Immigration', 'Legal Document Preparation', 'Legal Writing', 'U.S. Immigration', 'Analytical Skills', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Communication', 'Problem Solving', 'Project Management', 'SQL', 'Tableau']"
business analyst,"Managed Spend Analyst, Deals, Strategy and Growth (DSG)",Amazon,"Austin, TX","Austin, TX",Reposted 1 week ago,"$62,100/yr - $132,900/yr (from job description)","['$62.1K/yr - $132.9K/yr', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Account Executives', 'Business Requirements', 'E-Commerce', 'Maintenance and Repair', 'Negotiation', 'Product Analysis', 'Proposal Development', 'Retail Technology', 'Social Influence', 'Supplier Negotiation', 'Analytical Skills', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Communication', 'Customer Service', 'Problem Solving', 'Project Management']"
business analyst,Business Operations Analyst,MagickWoods Limited,"Aurora, IL (On-site)","Aurora, IL",1 week ago,0,"['On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Analytical Skills', 'Business Operations', 'Communication', 'Critical Thinking', 'Data Architecture', 'Enterprise Resource Planning (ERP)', 'Infor Enterprise Resource Planning (ERP)', 'Possess strong analytical', 'Problem Solving', 'Process Modeling', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Project Management', 'SQL', 'Tableau']"
business analyst,Business Immigration Analyst (Paralegal),Fragomen,"New York, NY (Hybrid)","New York, NY",Reposted 2 weeks ago,0,"['Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Entry level']","['Client Relations', 'Client Services', 'Document Drafting', 'Employment-based Immigration', 'Global Immigration', 'Immigration', 'Immigration Law', 'Legal Document Preparation', 'Legal Writing', 'U.S. Immigration', 'Analytical Skills', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Communication', 'Problem Solving', 'SQL', 'Tableau']"
business analyst,Business Analyst (90739BR),Yale University,"New Haven, CT (Hybrid)","New Haven, CT",Reposted 2 weeks ago,0,"['Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Mid-Senior level']","['Spreadsheets', 'Analytics', 'Cardiovascular Medicine', 'Communication', 'Data Analytics', 'Financial Metrics', 'Key Performance Indicators', 'Microsoft Power BI', 'Organizational Talent', 'Service-Level Agreements (SLA)', 'Analytical Skills', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Project Management', 'SQL', 'Tableau']"
business analyst,Business Analyst,IQNOX,"Florida, United States (Remote)","Florida, United States",2 weeks ago,"Starting at $60,000/yr","['Starting at $60K/yr + Bonus, Profit sharing', 'Remote\nMatches your job preferences, workplace type is Remote.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Analytical Skills', 'Business Analysis', 'Business Process', 'Business Process Improvement', 'Business Requirements', 'Data Modeling', 'Problem Solving', 'Requirements Gathering', 'Systems Engineering', 'User Acceptance Testing', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Agile Methodologies', 'Communication', 'Project Management', 'SQL']"
business analyst,Business Analyst,Bixal,"Fort Gregg Adams, VA (Hybrid)","Fort Gregg Adams, VA",1 week ago,"$115,000/yr - $125,000/yr","['$115K/yr - $125K/yr', 'Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Mid-Senior level']","['Jira', 'Project Management', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Agile Methodologies', 'Communication', 'Microsoft Power BI', 'SQL', 'Tableau']"
business analyst,Business & Product Data Analyst,Givebacks,United States (Remote),United States,1 month ago,0,"['Remote\nMatches your job preferences, workplace type is Remote.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Analytical Skills', 'Data Analysis', 'Attention to Detail', 'Business Analytics', 'Business Insights', 'Problem Solving', 'Project Management', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Communication', 'Data Visualization', 'SQL', 'Tableau']"
business analyst,Business Immigration Analyst (Writer),Fragomen,"Miami, FL (Hybrid)","Miami, FL",2 weeks ago,0,"['Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Entry level']","['Employment-based Immigration', 'Global Immigration', 'Immigration', 'Legal Document Preparation', 'Legal Writing', 'U.S. Immigration', 'Analytical Skills', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Communication', 'Problem Solving', 'Project Management', 'SQL', 'Tableau']"
business analyst,Business Analyst,Optomi,United States (Remote),United States,1 day ago,0,"['Remote\nMatches your job preferences, workplace type is Remote.', 'Contract', 'Associate']","['Analytical Skills', 'Communication', 'Data Analytics', 'Delivery Of Projects', 'Informatica', 'Payment Industry', 'Payment Systems', 'Presentations', 'SQL', 'Technical Specs', 'Techno-Functional', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Business Analysis', 'Problem Solving', 'Project Management']"
