search_key,job_name,company_name,job_location,location,post_time,salary,others,skills
business analyst,Summer 2025 Intern - Business Insights Analyst,Salesforce,"San Francisco, CA (Hybrid)","San Francisco, CA",1 week ago,$25/hr - $31/hr (from job description),"['$25/hr - $31/hr', 'Hybrid', 'Full-time', 'Entry level']","['Data Analytics', 'AWS SageMaker', 'Analytics', 'Artificial Intelligence (AI)', 'Data Analysis', 'Google Slides', 'Presentations', 'Quality Assurance', 'SQL', 'Tableau']"
business analyst,Business Analyst (Intern) United States,Cisco,"San Jose, CA (On-site)","San Jose, CA",5 days ago,"$44,000/yr - $130,000/yr","['$44K/yr - $130K/yr', 'On-site', 'Internship']","['Data Analytics', 'Analytical Skills', 'Business Analysis', 'Business Process', 'Business Process Improvement', 'Business Requirements', 'Communication', 'Manufacturing Process Improvement', 'Problem Solving', 'Teamwork']"
business analyst,Business Analyst Intern,Visa,"Foster City, CA","Foster City, CA",1 week ago,$30/hr - $35/hr (from job description),"['$30/hr - $35/hr', 'Full-time', 'Internship']","['Data Analytics', 'Ad Hoc Reporting', 'Analytics', 'Attention to Detail', 'Communication', 'Critical Thinking', 'Executive Reporting', 'Manufacturing Process Improvement', 'Presentations', 'Self-confidence']"
business analyst,Business Analyst Internship,Red Hat,"Raleigh, NC","Raleigh, NC",Reposted 6 days ago,0,['Full-time'],"['Analytical Skills', 'Business Analysis', 'Communication', 'Competitive Analysis', 'Data Analysis', 'Documentation', 'Oral Communication', 'Presentations', 'Problem Solving', 'User Stories']"
business analyst,"Business Analyst Intern, Summer 2025 - Purchase, NY-R-227578",Mastercard,"Purchase, NY (Hybrid)","Purchase, NY",Reposted 1 week ago,$25/hr - $32/hr (from job description),"['$25/hr - $32/hr', 'Hybrid', 'Full-time', 'Internship']","['Academic Achievement', 'Business Analysis', 'Business Requirements', 'Commerce', 'Confidentiality', 'Data Privacy', 'Information Security', 'Problem Solving', 'Sales Excellence', 'Team Building']"
business analyst,Business Analyst Intern,AstraZeneca,"Gaithersburg, MD","Gaithersburg, MD",Reposted 1 week ago,0,"['Full-time', 'Internship']","['Data Analytics', 'Analytical Skills', 'Business Analysis', 'Business Requirements', 'Computer Science', 'Presentation Design', 'Presentations', 'Problem Solving', 'Report Design', 'Sprint Planning']"
business analyst,Analyst Aide Temp Coops - College Students (Business Majors),Con Edison,"New York, NY (On-site)","New York, NY",Reposted 4 days ago,$19/hr - $27/hr,"['$19/hr - $27/hr', 'On-site', 'Internship']","['Data Analytics', 'Analytical Skills', 'Analytics', 'Economics', 'Finance', 'High Energy Level', 'Interpersonal Skills', 'Mathematics', 'Microsoft Word', 'Statistics']"
business analyst,Intern Consumer Components Business Analyst,Micron Technology,"San Jose, CA","San Jose, CA",2 weeks ago,$36.16/hr - $46.16/hr (from job description),"['$36.16/hr - $46.16/hr', 'Full-time', 'Internship']","['Business Analysis', 'Business Requirements', 'Communication', 'Computer Science', 'Data Analysis', 'Microsoft Excel', 'Opportunity Identification', 'Oral Communication', 'Problem Solving', 'Process Analysis']"
business analyst,Business Analyst Summer 2025 Intern,Chick-fil-A Corporate Support Center,"Atlanta, GA","Atlanta, GA",1 week ago,0,['Full-time'],"['Business Analysis', 'Business Requirements', 'Communication', 'Interpersonal Skills', 'Oral Communication', 'Problem Solving', 'Servant Leadership', 'Spring Framework', 'Sprint Planning', 'User Stories']"
business analyst,2025 Summer Intern: Associate Business Analyst,Spectrum,"Charlotte, NC","Charlotte, NC",Reposted 3 days ago,0,"['Internship', 'Internship']","['Analytical Skills', 'Business Analysis', 'Business Process', 'Business Requirements', 'Communication', 'Microsoft Excel', 'Microsoft Office', 'Problem Solving', 'Requirements Gathering', 'User Acceptance Testing']"
business analyst,Intern - Business Analyst for AI (Central Sales Ops),Micron Technology,"Folsom, CA","Folsom, CA",5 days ago,$27.36/hr - $34.93/hr (from job description),"['$27.36/hr - $34.93/hr', 'Full-time', 'Internship']","['Data Analytics', 'Analytics', 'Business Analysis', 'Business Analytics', 'Communication', 'Computer Science', 'Critical Thinking', 'Problem Solving', 'Project Management', 'Written Communication']"
business analyst,Summer Intern – Business Analyst,Allegion,"Carmel, IN (On-site)","Carmel, IN",Reposted 1 month ago,0,"['On-site', 'Full-time', 'Internship']","['Data Analytics', 'Analytical Skills', 'Automation', 'Build Strong Relationships', 'Business Analysis', 'Business Process', 'Business Requirements', 'Clarity', 'Creative Problem Solving', 'Problem Solving']"
business analyst,Finance Business Analyst Intern,Bayer,"Creve Coeur, MO","Creve Coeur, MO",Reposted 2 weeks ago,0,"['Full-time', 'Internship']","['Data Analytics', 'Analytical Skills', 'Business Analysis', 'Business Requirements', 'Computer Science', 'Interest Rates', 'Market Analysis', 'Market Research', 'Problem Solving', 'Timing']"
business analyst,2025 Summer Intern: Associate Business Analyst,Spectrum,"Stamford, CT","Stamford, CT",Reposted 4 days ago,0,"['Internship', 'Internship']","['Data Analytics', 'Analytical Skills', 'Business Analysis', 'Business Process', 'Business Requirements', 'Communication', 'Data Analysis', 'Microsoft Excel', 'Problem Solving', 'Requirements Gathering']"
business analyst,Business Analyst Intern - Customer Experience Group,First Citizens Bank,"Raleigh, NC (On-site)","Raleigh, NC",4 days ago,0,"['On-site', 'Temporary']","['Business Analysis', 'Communication', 'Critical Thinking', 'Interpersonal Skills', 'Presentations', 'Problem Solving', 'Process Review', 'Skilled Multi-tasker', 'Thinking Skills', 'Written Communication']"
business analyst,Business Analyst II (Full Time) United States,Cisco,"San Jose, CA (On-site)","San Jose, CA",5 days ago,"$93,200/yr - $117,300/yr","['$93.2K/yr - $117.3K/yr', 'On-site', 'Full-time']","['Analytical Skills', 'Business Insights', 'Business Process Improvement', 'Business Requirements', 'Clarity', 'Communication', 'Datasets', 'Documentation', 'Problem Solving', 'Statistical Analysis']"
business analyst,2025 Summer Intern: Business Analyst,Spectrum,"Greenwood Village, CO","Greenwood Village, CO",2 weeks ago,$26/hr - $27/hr,"['$26/hr - $27/hr', 'Internship', 'Internship']","['Data Analytics', 'Business Analysis', 'Business Process', 'Business Requirements', 'Communication', 'Finance', 'Microsoft Excel', 'Presentations', 'Problem Solving', 'Team-focused']"
business analyst,Business Analyst Intern (Summer 2025)(Hybrid),Collins Aerospace,"Annapolis, MD (Hybrid)","Annapolis, MD",1 day ago,0,"['Hybrid', 'Full-time', 'Internship']","['Data Analytics', 'Business Analysis', 'Business Analytics', 'Business Efficiency', 'Business Workflows', 'Communication', 'Data Analysis', 'Presentations', 'Process Analysis', 'Timelines']"
business analyst,"2025 Summer Intern - Product Strategy Analyst, US",PIMCO,"Newport Beach, CA (On-site)","Newport Beach, CA",Reposted 4 days ago,$43.26/hr (from job description),"['$43.26/hr', 'On-site', 'Full-time', 'Internship']","['Client Communication', 'Client Presentation', 'Commentaries', 'Communication', 'Organization Skills', 'Performance Attribution', 'Portfolio Analysis', 'Presentations', 'Product Lines', 'Product Strategy']"
