search_key,job_name,company_name,job_location,location,post_time,salary,others,skills
data analyst,Data Analyst,Insight Global,"Immokalee, FL (On-site)","Immokalee, FL",6 days ago,"$50,000/yr - $60,000/yr","['$50K/yr - $60K/yr', 'On-site', 'Full-time', 'Entry level']","['Analytical Skills', 'Data Analysis', 'Data Analytics', 'Documentation', 'Excel Formulas', 'Microsoft Excel', 'Microsoft Office', 'Pivot Tables', 'Research Skills', 'V Lookups']"
data analyst,Statistical Analyst,Peterson Institute for International Economics,"Washington, DC (Hybrid)","Washington, DC",1 week ago,"$60,000/yr - $65,000/yr","['$60K/yr - $65K/yr', 'Hybrid', 'Full-time']","['Analytics', 'Communication', 'Computer Literacy', 'Data Analytics', 'Data Management', 'Data Quality', 'Keyboards', 'Quality Control', 'Stata', 'Statistical Data Analysis']"
data analyst,Data Analyst,Swagelok Denver,"Wheat Ridge, CO (On-site)","Wheat Ridge, CO",4 weeks ago,"$75,000/yr - $95,000/yr","['$75K/yr - $95K/yr + Bonus', 'On-site', 'Full-time']","['Analytical Skills', 'Communication', 'Data Management', 'Databases', 'Microsoft Power BI', 'Organization Skills', 'Problem Solving', 'SAP ERP', 'SQL', 'Time Management']"
data analyst,Investments Quantitative Analyst Intern,Allstate,"Chicago, IL (Hybrid)","Chicago, IL",93 applicants,$23/hr - $32/hr (from job description),"['$23/hr - $32/hr', 'Hybrid', 'Full-time', 'Internship']","['Communication', 'Customer-Focused Selling', 'Data Science', 'Digital Literacy', 'Presentations', 'Quantitative Finance', 'Quantitative Research', 'Statistical Analysis', 'Statistics', 'Strategic Thinking']"
data analyst,Data Analyst (MWAccel),McGuireWoods LLP,"Nueces County, TX (Hybrid)","Nueces County, TX",1 week ago,0,"['Hybrid', 'Full-time']","['Analytical Solutions', 'Business Requirements', 'Data Analytics', 'Data Manipulation', 'Linux System Administration', 'Presentations', 'RStudio', 'Server Administration', 'Statistical Analysis', 'T-tests']"
data analyst,Data Analyst,Montrose Environmental Group,"Austin, TX (On-site)","Austin, TX",Reposted 1 week ago,$23/hr - $27/hr (from job description),"['$23/hr - $27/hr', 'On-site', 'Full-time', 'Entry level']","['Analytical Skills', 'Communication', 'Data Analytics', 'Data Entry', 'Data Validation', 'Data Visualization', 'Presentations', 'Problem Solving', 'Think & Act Strategically', 'Written Communication']"
data analyst,Summer Consulting Analyst,Augment Jobs,"Austin, TX (On-site)","Austin, TX",2 weeks ago,0,"['On-site', 'Full-time', 'Associate']","['Analytical Skills', 'Client Presentation', 'Communication', 'Critical Thinking', 'Economics', 'Microsoft Excel', 'Oral Communication', 'Presentations', 'Problem Solving', 'Thinking Skills']"
data analyst,"Data Analyst, Product & Regulatory Ops",Meta,"Austin, TX","Austin, TX",2 weeks ago,"$124,000/yr - $176,000/yr","['$124K/yr - $176K/yr', 'Full-time']","['Analytics', 'Applied Economics', 'Business Insights', 'Communication', 'Computer Science', 'Data Analytics', 'Extract, Transform, Load (ETL)', 'Predictive Analytics', 'Problem Solving', 'Technical Systems']"
data analyst,"Asset & Wealth Management, Client Solutions Group Strategic Data Services, Analyst or Associate (Chicago)",Goldman Sachs,"Chicago, IL","Chicago, IL",Reposted 1 week ago,0,"['Full-time', 'Associate']","['Asset Management', 'Client Coverage', 'Communication', 'FinTech', 'Financial Services', 'Interpersonal Skills', 'Key Performance Indicators', 'Post-Trade Processing', 'Reporting & Analysis', 'Sales Metrics']"
data analyst,Junior Data Analyst,Mosaic North America,"Dallas, TX (Hybrid)","Dallas, TX",Reposted 1 week ago,"$60,000/yr - $65,000/yr","['$60K/yr - $65K/yr', 'Hybrid', 'Full-time', 'Associate']","['Attention to Detail', 'Coordination Skills', 'Critical Thinking', 'Data Reporting', 'Datasets', 'Excel Formulas', 'Pivot Tables', 'Project Coordination', 'Reporting & Analysis', 'Visualization']"
data analyst,"Analyst, ESG Data",Revlon,"New York, NY (On-site)","New York, NY",Reposted 3 days ago,0,"['On-site', 'Full-time', 'Mid-Senior level']","['Analytical Skills', 'Analytics', 'Business Insights', 'Communication', 'Data Analytics', 'Data Collection', 'Data Integrity', 'Data Science', 'Oral Communication', 'Presentations']"
data analyst,2024 Research Analyst,International Monetary Fund,"Washington, DC (Remote)","Washington, DC",Reposted 2 weeks ago,0,"['Remote', 'Full-time', 'Entry level']","['Analytical Skills', 'Data Collection', 'Databases', 'EViews', 'IBM SPSS', 'Keynote', 'Presentations', 'Prezi', 'Problem Solving', 'SAS (Software)']"
data analyst,"undergraduate intern, data analyst - 2025 Starbucks Summer Internship Program - Data, Analytics, Insights & Business Operations",Starbucks,"Seattle, WA (Hybrid)","Seattle, WA",6 days ago,0,"['Hybrid', 'Full-time']","['Analytics', 'Automation', 'Brewing', 'Data Analytics', 'Data Pipelines', 'Data Preparation', 'Data Science', 'Data Visualization', 'Interpersonal Skills', 'Presentations']"
data analyst,Data Analyst,Coinbase,"Miami, FL","Miami, FL",1 week ago,0,"['Full-time', 'Mid-Senior level']","['Analytics', 'Communication', 'Data Analytics', 'Data Science', 'Data Visualization', 'Oral Communication', 'Statistical Inference', 'Statistics', 'Strategic Thinking', 'Visualization']"
