search_key,job_name,company_name,job_location,location,post_time,salary,others,skills
data analyst,"graduate intern, data analyst - 2025 Starbucks Summer Internship Program - Data, Analytics, Insights & Business Operations",Starbucks,"Seattle, WA (Hybrid)","Seattle, WA",5 days ago,0,"['Hybrid', 'Full-time']","['Data Analytics', 'Analytics', 'Automation', 'Data Pipelines', 'Data Preparation', 'Data Science', 'Data Visualization', 'Interpersonal Skills', 'Presentations', 'Visualization']"
data analyst,"undergraduate intern, data analyst - 2025 Starbucks Summer Internship Program - Data, Analytics, Insights & Business Operations",Starbucks,"Seattle, WA (Hybrid)","Seattle, WA",5 days ago,0,"['Hybrid', 'Full-time']","['Data Analytics', 'Analytics', 'Automation', 'Brewing', 'Data Pipelines', 'Data Preparation', 'Data Science', 'Data Visualization', 'Interpersonal Skills', 'Presentations']"
data analyst,Data Operations Summer Intern,PitchBook,"New York, NY","New York, NY",6 days ago,$25/hr (from job description),"['$25/hr', 'Internship', 'Internship']","['Data Analytics', 'Data Engineering', 'Data Management', 'Business Meetings', 'Communication', 'Data Modeling', 'Data Quality', 'Data Science', 'Databases', 'Microsoft Excel']"
data analyst,2025 Data Science Analyst Program - Summer Analyst,JPMorganChase,"Chicago, IL","Chicago, IL",Reposted 2 weeks ago,0,['Full-time'],"['Data Analytics', 'Analytics', 'Communication', 'Data Science', 'Data Visualization', 'Mathematics', 'Problem Solving', 'SQL', 'Statistics', 'Visualization']"
data analyst,"Research Data Analyst 2 (6256U), Haas School of Business - #71674","University of California, Berkeley","Berkeley, CA","Berkeley, CA",1 month ago,$34.77/hr (from job description),"['$34.77/hr', 'Full-time']","['Communication', 'Consultation', 'Control Software', 'Data Architecture', 'Data Reporting', 'Databases', 'Literature Reviews', 'MATLAB', 'Research Proposals', 'Statistical Analysis']"
data analyst,Data Analyst Intern,AARP,"Washington, DC (On-site)","Washington, DC",Reposted 3 weeks ago,$18/hr - $21/hr (from job description),"['$18/hr - $21/hr', 'On-site', 'Internship']","['Data Analytics', 'Analytics', 'Critical Thinking', 'Data Analysis', 'Data Cleaning', 'Data Science', 'Data Visualization', 'Statistical Analysis', 'Statistical Concepts', 'Visualization']"
data analyst,"Data Science, Analytics Intern - 2025 - Seattle",Expedia Group,"Seattle, WA (On-site)","Seattle, WA",4 days ago,$33/hr - $45/hr,"['$33/hr - $45/hr', 'On-site', 'Full-time', 'Internship']","['Business Solution', 'Data Science', 'Hypothesis Testing', 'Mathematics', 'Presentations', 'Professional Skills', 'Prototyping', 'Statistical Analysis', 'Statistics', 'Titling']"
data analyst,Quantitative Development & Data Science Internship,Fidelity Investments,"Boston, MA (Hybrid)","Boston, MA",Reposted 1 week ago,"$50,000/yr - $70,000/yr (from job description)","['$50K/yr - $70K/yr', 'Hybrid', 'Full-time', 'Internship']","['Analytical Skills', 'Analytical Solutions', 'Cascading Style Sheets (CSS)', 'Communication', 'Dialog Programs', 'HTML', 'Presentations', 'Problem Solving', 'Software Development', 'Written Communication']"
data analyst,Data & Analytics Intern,First Citizens Bank,"Pasadena, CA (On-site)","Pasadena, CA",1 day ago,$22.44/hr - $34.32/hr (from job description),"['$22.44/hr - $34.32/hr', 'On-site', 'Temporary']","['Data Analytics', 'Analytics', 'Communication', 'Computer Science', 'Critical Thinking', 'Data Science', 'Data Visualization', 'Presentations', 'Thinking Skills', 'Thorough Research']"
data analyst,"Markets - Quantitative Analysis, Summer Analyst - New York City - US, 2025",Citi,"New York, NY (On-site)","New York, NY",Reposted 2 weeks ago,"$80,000/yr - $115,000/yr (from job description)","['$80K/yr - $115K/yr', 'On-site', 'Full-time']","['Algorithmic Trading', 'Communication', 'Computer Science', 'Data Science', 'Financial Instruments', 'Market Data', 'Mathematics', 'Quantitative Analytics', 'Quantitative Finance', 'Trading Strategies']"
