search_key,job_name,company_name,job_location,location,post_time,salary,others,skills
marketing,Intern - Market Intelligence Analyst,Micron Technology,"Folsom, CA","Folsom, CA",1 day ago,$36.16/hr - $46.16/hr (from job description),"['$36.16/hr - $46.16/hr', 'Full-time', 'Internship']","['Data Analytics', 'Analytical Skills', 'Analytics', 'Communication', 'Interpersonal Skills', 'Market Analysis', 'Microsoft Outlook', 'Problem Solving', 'SharePoint', 'Technology Trends']"
marketing,Marketing - Summer 2025 Intern,Honeywell,United States (Remote),United States,6 days ago,$20/hr - $33/hr (from job description),"['$20/hr - $33/hr', 'Remote', 'Full-time', 'Internship']","['Communication', 'Digital Marketing', 'Market Planning', 'Market Research', 'Marketing Analytics', 'New Product Rollout', 'Product Introduction', 'Strategic Marketing', 'Voice of the Customer', 'Writing']"
marketing,Market Research Analyst Intern,Buffalo Sabres,"Buffalo, NY (On-site)","Buffalo, NY",1 week ago,$15.50/hr (from job description),"['$15.50/hr', 'On-site', 'Part-time', 'Internship']","['Attention to Detail', 'Business Communications', 'Communication', 'Confidentiality', 'Critical Thinking', 'Data Manipulation', 'Data-driven Decision Making', 'Hockey', 'Presentations', 'Professional Sports']"
marketing,"Associate, Growth Marketing, WSJ",Dow Jones,"New York, NY (Hybrid)","New York, NY",1 week ago,"$55,000/yr - $70,000/yr (from job description)","['$55K/yr - $70K/yr', 'Hybrid', 'Full-time']","['A/B Testing', 'Acquisition Marketing', 'Campaigns', 'Content Marketing', 'Google Analytics', 'Key Performance Indicators', 'Marketing Campaign Management', 'Marketing Campaigns', 'Paid Media Advertising', 'Web Analytics']"
marketing,Market Analyst Intern,Trane Technologies,"Davidson, NC","Davidson, NC",13 applicants,0,"['Full-time', 'Internship']","['Data Analytics', 'Analytical Skills', 'Competitive Analysis', 'Data Analysis', 'Economics', 'English', 'Market Analysis', 'Market Research', 'Problem Solving', 'Teamwork']"
marketing,Consumer Insights Intern - On Site,Informa Connect,"Chicago, IL (On-site)","Chicago, IL",1 week ago,0,"['On-site', 'Part-time', 'Internship']","['Data Analytics', 'Attention to Detail', 'Communication', 'Communication Training', 'Consumer Behavior', 'Consumer Insight', 'Custom Reports', 'Data Interpretation', 'Market Research', 'Qualitative Research']"
marketing,Student Marketing Analyst,ASU Foundation for a New American University,"Scottsdale, AZ (Hybrid)","Scottsdale, AZ",5 days ago,0,"['Hybrid', 'Part-time', 'Internship']","['Campaigns', 'Communication', 'Databases', 'Intellectual Property Management', 'Interpersonal Skills', 'Marketing Campaigns', 'Performance Marketing', 'Problem Solving', 'Student Marketing', 'Technology Transfer']"
marketing,CGH Social Media/Communications Internship,Massachusetts General Hospital,"Boston, MA","Boston, MA",1 week ago,0,"['Part-time', 'Internship']","['Attention to Detail', 'External Communications', 'Hootsuite', 'Interpersonal Skills', 'Journalism', 'Online Presence', 'Skilled Multi-tasker', 'Social Media Content Creation', 'Variety Of Audiences', 'Writing']"
marketing,Digital Marketing Entry-Level Position (Remote),Top of Mind PR,"Fort Lauderdale, FL (Remote)","Fort Lauderdale, FL",1 week ago,0,"['Remote', 'Full-time', 'Entry level']","['Contact Lists', 'Digital Marketing', 'Email Marketing', 'Marketing Campaigns', 'Media Trends', 'Newsletters', 'Skilled Multi-tasker', 'Social Media Optimization (SMO)', 'Sprout Social', 'Writing']"
marketing,"Analyst, Search Marketing",Digitas North America,"Boston, MA (On-site)","Boston, MA",1 week ago,0,"['On-site', 'Full-time', 'Associate']","['Allocations', 'Bid Strategy', 'Budget Management', 'Campaign Execution', 'Communication', 'Cross-Channel Marketing', 'Data Interpretation', 'Paid Search Strategy', 'Scanning Electron Microscopy (SEM)', 'Search Engine Marketing (SEM)']"
