search_key,job_name,company_name,job_location,location,post_time,salary,others,skills
researcher,Fellow,Legacy Fellowship,"Colorado, United States (On-site)","Colorado, United States",3 days ago,"Up to $125,000/yr","['Up to $125K/yr', 'On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Leadership', 'Community Development', 'Diversity', 'Education', 'Educational Leadership', 'Nonprofit Organizations', 'Programmes', 'School Systems', 'Service Work', 'Skill Development', 'Training', 'Training Programs', 'Analytical Skills', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Communication', 'Organization Skills', 'Project Management', 'Public Speaking', 'Research Skills']"
researcher,"Postdoctoral Researcher, Fire Process-Atmospheric Chemical Modeling",Desert Research Institute,"Reno, NV (On-site)","Reno, NV",2 weeks ago,"Starting at $65,000/yr","['Starting at $65K/yr', 'On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Data Analysis', 'Python (Programming Language)', 'Atmospheric Chemistry', 'Box Cloud', 'Fire Performance', 'Fortran', 'MATLAB', 'Physics', 'WRF', 'Wildfire', 'Analytical Skills', 'Microsoft Office', 'C++', 'Climate Change', 'Modeling', 'Project Management', 'Research Skills']"
researcher,Internet Researcher,Source Mantra,"San Antonio, TX (Hybrid)","San Antonio, TX",1 day ago,$15/hr,"['$15/hr', 'Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Analytical Skills', 'Defining Requirements', 'Knowledge Acquisition', 'Operating Systems', 'Performing', 'Problem Solving', 'Research Skills', 'Service Work', 'Tech Savy', 'Tech-Savvy', 'Legal Research', 'Microsoft Office', 'Python (Programming Language)', 'Amazon Web Services (AWS)', 'AutoCAD', 'Customer Service', 'Machine Learning', 'MySQL']"
researcher,Resilience Corps Fellow,Greater Portland Council of Governments,"Portland, ME (Hybrid)","Portland, ME",2 weeks ago,"$28,000/yr","['$28K/yr', 'Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Climate Change', 'Community Engagement', 'Data Collection', 'Data Visualization', 'Environmental Planning', 'Event Planning', 'Geographic Information Systems (GIS)', 'Research Skills', 'Social Media', 'Volunteer Management', 'Data Analysis', 'Leadership', 'Microsoft Office', 'Communication', 'Customer Satisfaction', 'Customer Service', 'Organization Skills', 'Public Speaking', 'Teamwork']"
researcher,UX Researcher,Gitwit,"Tulsa, OK (Hybrid)","Tulsa, OK",2 weeks ago,0,"['Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Ethnography', 'Journey Mapping', 'Learning', 'Methodology', 'Mixed Methods Research', 'Qualitative & Quantitative Research Methodologies', 'Research Methods', 'Storytelling', 'UX Research', 'User Interviews', 'Communication', 'Figma (Software)', 'Project Management', 'Prototyping', 'Usability Testing', 'User Experience (UX)', 'User Experience Design (UED)', 'User Interface Design', 'Wireframing']"
researcher,Research Associate 1 (91125BR),Yale University,"New Haven, CT (Hybrid)","New Haven, CT",2 weeks ago,0,"['Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Mid-Senior level']",[]
researcher,"Research Associate 1, MS (90301BR)",Yale University,"New Haven, CT (On-site)","New Haven, CT",Reposted 1 week ago,0,"['On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Entry level']","['Blood Collection', 'Harvest', 'In Vivo', 'Injections', 'Molecular Biology', 'Mouse Handling', 'Polymerase Chain Reaction (PCR)', 'Tissue Culture', 'qRT-PCR', 'siRNA', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Cell Culture', 'Communication', 'Laboratory Skills', 'Organization Skills', 'Research Skills', 'Western Blotting']"
researcher,Business Researcher - Private Equity,AlixPartners,"New York, United States (Hybrid)","New York, United States",Reposted 1 week ago,"$120,000/yr - $140,000/yr (from job description)","['$120K/yr - $140K/yr', 'Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Associate']","['Analytical Skills', 'Business Development', 'Communication', 'Investment Banking', 'Market Analysis', 'Market Research', 'Oral Communication', 'Problem Solving', 'Professional Services', 'Qualitative Research', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Microsoft PowerPoint', 'Financial Analysis', 'Financial Modeling', 'Research Skills']"
researcher,Researcher (LLMs),Orbital Materials,"Princeton, NJ (Hybrid)","Princeton, NJ",1 potential applicant,0,"['Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Analytical Skills', 'Python (Programming Language)', 'Chemistry', 'Computational Chemistry', 'Materials Science', 'Molecular Dynamics', 'Polymerase Chain Reaction (PCR)', 'Product Demonstration', 'Research Skills', 'System Performance']"
researcher,Quantitative Researcher,Harrington Starr,"New York, United States (On-site)","New York, United States",Reposted 2 weeks ago,"Starting at $150,000/yr","['Starting at $150K/yr', 'On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Associate']","['Algorithm Development', 'Quantitative Research', 'Analytical Skills', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Communication', 'Machine Learning', 'R (Programming Language)', 'SQL', 'Tableau']"
