search_key,job_name,company_name,job_location,location,post_time,salary,others,skills
researcher,"Empirical Research Fellow, Research Support",Northwestern University,"Evanston, IL (Hybrid)","Evanston, IL",5 days ago,"$50,000/yr (from job description)","['$50K/yr', 'Hybrid', 'Full-time', 'Internship']","['Stata', 'Analytical Skills', 'Communication', 'Documentation', 'Literature Reviews', 'Polymerase Chain Reaction (PCR)', 'Research Projects', 'SQL', 'Statistical Analysis', 'Test Data']"
researcher,Research Fellow,Massachusetts Institute of Technology,"Cambridge, MA (On-site)","Cambridge, MA",1 month ago,0,"['On-site', 'Full-time', 'Entry level']","['Data Analytics', 'Cell Culture', 'Computer Science', 'Data Analysis', 'Literature Reviews', 'Meta-analysis', 'Molecular Biology', 'Polymerase Chain Reaction (PCR)', 'Qualitative Research', 'Quantitative Data']"
researcher,Research Scholar (6256U) #71212,"University of California, Berkeley","Berkeley, CA","Berkeley, CA",2 months ago,$34.77/hr - $48.28/hr (from job description),"['$34.77/hr - $48.28/hr', 'Full-time']","['Data Analytics', 'Briefing', 'Computer Science', 'Data Collection', 'Literature Reviews', 'Presentations', 'Quantitative Analytics', 'Research Design', 'Sociology', 'Statistical Analysis']"
researcher,2025 Corporate Analyst Development Program – Summer Analyst (Insights Programs),JPMorganChase,"Chicago, IL","Chicago, IL",Reposted 1 week ago,0,['Full-time'],"['Data Analytics', 'Attention to Detail', 'Communication', 'Documentation', 'Due Diligence', 'HireVue', 'Interpersonal Communication', 'Manufacturing Process Improvement', 'Problem Solving', 'Project Management']"
researcher,Research Analyst,University of Chicago,"Chicago, IL (On-site)","Chicago, IL",1 week ago,0,"['On-site', 'Entry level']","['Stata', 'Communication', 'Economics', 'Economics of Education', 'LaTeX', 'Literature Reviews', 'Presentations', 'Problem Solving', 'Questionnaires', 'Research Projects']"
researcher,"Research Associate, Research",Federal Reserve Bank of Richmond,"Richmond, VA","Richmond, VA",2 weeks ago,"$56,600/yr - $70,800/yr (from job description)","['$56.6K/yr - $70.8K/yr', 'Full-time', 'Associate']","['Data Analytics', 'Cell Biology', 'Communication', 'ELISA', 'High-Performance Liquid Chromatography (HPLC)', 'Literature Reviews', 'Molecular Biology', 'Research Projects', 'Statistical Analysis', 'Written Communication']"
researcher,"Quantitative Strategist Intern, Summer 2025",Akuna Capital,"Chicago, IL (Hybrid)","Chicago, IL",2 months ago,0,"['Hybrid', 'Internship', 'Entry level']","['Automated Trading', 'Communication', 'Financial Markets', 'Mathematics', 'Quantitative Analytics', 'Quantitative Finance', 'Quantitative Research', 'React.js', 'STEM', 'Trading Strategies']"
researcher,"Research, Analyst",University of Chicago,"Chicago, IL (On-site)","Chicago, IL",2 months ago,0,"['On-site', 'Entry level']","['Stata', 'Communication', 'Economics', 'Economics of Education', 'LaTeX', 'Labor Economics', 'Organization Skills', 'Presentations', 'Research Projects', 'Summaries']"
researcher,Research Associate - Thought Leadership,Oxford Economics,New York City Metropolitan Area (Hybrid),New York City Metropolitan Area,10 applicants,0,"['Hybrid', 'Full-time', 'Entry level']","['Interviewing', 'Leadership', 'Research Skills', 'Strategic Data Analysis', 'Thought Leadership', 'Writing']"
researcher,"Intern, Research and Insights",LSG,"Washington, DC (On-site)","Washington, DC",1 week ago,$20/hr,"['$20/hr', 'On-site', 'Internship']","['Analytical Skills', 'Campaign Tracking', 'Message Testing', 'Public Affairs', 'Public Opinion Research', 'Public Policy', 'Qualitative Research', 'Quantitative Research', 'Strategic Communications']"
researcher,Research Associate (66633BR),Harvard Business School,"Boston, MA (Hybrid)","Boston, MA",Reposted 3 weeks ago,0,"['Hybrid', 'Full-time']","['SAS (Software)', 'Stata', 'Data Collection', 'Econometrics', 'Empirical Research', 'Literature Reviews', 'Presentations', 'Research Methods', 'Research Projects', 'Statistical Programming']"
researcher,"Research Associate, Restoring Promise",Vera Institute of Justice,"Brooklyn, NY (On-site)","Brooklyn, NY",3 weeks ago,"$82,000/yr - $85,000/yr (from job description)","['$82K/yr - $85K/yr', 'On-site', 'Full-time', 'Entry level']","['Adult Development', 'Computer Science', 'Data Collection', 'Literature Reviews', 'Mixed Methods Research', 'Participatory Action Research', 'Research Design', 'Research Proposals', 'Social Sciences', 'Statistics']"
researcher,Quantitative Market Researcher (US/Canada based),Conjointly,"Santa Cruz, CA (Remote)","Santa Cruz, CA",1 month ago,"$55,000/yr - $130,000/yr (from job description)","['$55K/yr - $130K/yr', 'Remote', 'Full-time', 'Mid-Senior level']","['Conjoint Analysis', 'Critical Thinking', 'English', 'Logics', 'MaxDiff', 'Questionnaires', 'Research Design', 'Research Projects', 'Research Skills', 'Secondary Research']"
researcher,Quantitative Research Internship - 2026/2027,Thurn Partners,"Chicago, IL (On-site)","Chicago, IL",2 weeks ago,0,"['On-site', 'Internship', 'Internship']","['Data Analytics', 'Analytical Skills', 'Data Science', 'Financial Instruments', 'Mathematics', 'Probability', 'Quantitative Analytics', 'Quantitative Research', 'Statistical Analysis', 'Trading Strategies']"
researcher,"Quantitative User Experience Researcher, Early Career 2024",Google,"New York, NY (On-site)","New York, NY",Reposted 3 weeks ago,"$102,000/yr - $150,000/yr (from job description)","['$102K/yr - $150K/yr', 'On-site', 'Full-time', 'Entry level']","['Data Analytics', 'Stata', 'Cognitive Science', 'Data Storytelling', 'Human Computer Interaction', 'Human Factors', 'Product Research', 'Quantitative Research', 'User Experience (UX)', 'User Interface Design']"
researcher,Quantitative Market Researcher (US/Canada based),Conjointly,United States (Remote),United States,1 month ago,"$55,000/yr - $130,000/yr (from job description)","['$55K/yr - $130K/yr', 'Remote', 'Full-time', 'Mid-Senior level']","['Conjoint Analysis', 'Critical Thinking', 'English', 'Logics', 'MaxDiff', 'Questionnaires', 'Research Design', 'Research Projects', 'Research Skills', 'Secondary Research']"
researcher,"Monitoring, Evaluation, Research & Learning Intern (IP)",Save the Children US,"Washington, DC","Washington, DC",1 day ago,$17/hr (from job description),"['$17/hr', 'Full-time', 'Internship']","['Data Analytics', 'Adaptive Management', 'Communication', 'Data Analysis', 'English', 'Interpersonal Skills', 'System Monitoring', 'System Operations', 'Technical Writing', 'Writing']"
