search_key,job_name,company_name,job_location,location,post_time,salary,others,skills
risk analyst,Enterprise Risk Management Analyst,Compunnel Inc.,"Taylor, TX (Hybrid)","Taylor, TX",61 applicants,$55/hr - $60/hr (from job description),"['$55/hr - $60/hr', 'Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Contract', 'Associate']","['Electricity', 'Analytical Skills', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Communication', 'Problem Solving', 'Research Skills', 'SQL']"
risk analyst,Risk Analyst,"Pyramid Consulting, Inc","San Diego, CA (Hybrid)","San Diego, CA",3 weeks ago,$25/hr - $29/hr,"['$25/hr - $29/hr', 'Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Contract']","['Banking', 'Critical Thinking', 'Payroll Processing', 'Analytical Skills', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Communication', 'Financial Analysis', 'Problem Solving', 'Project Management', 'SQL']"
risk analyst,Risk Management - Strategic Analytics - Analyst,JPMorganChase,"Wilmington, DE","Wilmington, DE",Reposted 2 weeks ago,0,"['Full-time\nMatches your job preferences, job type is Full-time.']","['Analytical Skills', 'Business Insights', 'Communication', 'Emerging Trends', 'Executive Visibility', 'Management Information Systems (MIS)', 'Performance Metrics', 'Problem Solving', 'Risk Management', 'Statistics', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Machine Learning', 'R (Programming Language)', 'SQL']"
risk analyst,Risk Analyst,FlexShopper,"Boca Raton, FL (On-site)","Boca Raton, FL",Reposted 2 weeks ago,0,"['On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Associate']","['Data Analysis', 'Financial Analysis', 'Risk Assessment', 'Analytical Skills', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Communication', 'Problem Solving', 'SQL', 'Tableau']"
risk analyst,"Risk Analyst, DC",Lockton,"Washington, DC (On-site)","Washington, DC",Reposted 2 weeks ago,0,"['On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Entry level']","['Analytical Skills', 'Account Executives', 'Binders', 'Change Requests', 'Communication', 'Confidentiality', 'Interpersonal Communication', 'Presentations', 'Quote', 'Risk Analysis', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Problem Solving', 'SQL', 'Teamwork']"
risk analyst,"Supply Chain Risk Intelligence Analyst, Supplier Governance",Amazon Web Services (AWS),"Austin, TX","Austin, TX",Reposted 1 week ago,0,"['Full-time\nMatches your job preferences, job type is Full-time.']","['Analytical Skills', 'Communication', 'Inventory Management', 'Political Science', 'Problem Solving', 'Procurement', 'Remediation', 'Risk Management', 'Strategic Planning', 'Thinking Skills', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Customer Service', 'Management', 'Project Management']"
risk analyst,Risk Management Analyst,Ashford Inc.,"Dallas, TX (On-site)","Dallas, TX",Reposted 2 weeks ago,0,"['On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Entry level']","['Analytical Skills', 'Data Analysis', 'Attention to Detail', 'Certificates Of Insurance', 'Communication', 'Internal & External Clients', 'Presentations', 'Reliability', 'Retentions', 'Written Communication', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Financial Analysis', 'Problem Solving', 'SQL']"
risk analyst,Risk and Underwriting Analyst,wiZeHR Solutions,"Boca Raton, FL (On-site)","Boca Raton, FL",1 month ago,"$65,000/yr - $75,000/yr","['$65K/yr - $75K/yr + Bonus', 'On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Analytical Skills', 'Credit Risk Management', 'Finance', 'Financial Analysis', 'Financial Modeling', 'Financial Services', 'Problem Solving', 'Professional Liability', 'Risk Assessment', 'Underwriting', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Communication', 'Teamwork']"
risk analyst,Risk Analyst,Educational Federal Credit Union,"Miami, FL (On-site)","Miami, FL",Reposted 2 weeks ago,0,"['On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Associate']","['IT Risk Management', 'Operations Management', 'Project Management', 'Regulatory Compliance', 'Risk Analysis', 'Risk Assessment', 'Risk Management', 'Analytical Skills', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Communication', 'Financial Analysis', 'Problem Solving', 'SQL']"
risk analyst,Counterparty and Derivatives Risk Analyst,Vanguard,"Malvern, PA","Malvern, PA",Reposted 1 week ago,0,"['Full-time\nMatches your job preferences, job type is Full-time.', 'Mid-Senior level']","['Analytical Skills', 'Communication', 'Counterparty Risk', 'Data Analytics', 'Derivatives', 'Liquidity Risk Management', 'Problem Solving', 'Risk Analysis', 'Risk Frameworks', 'Risk Management', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Financial Analysis', 'SQL']"
