search_key,job_name,company_name,job_location,location,post_time,salary,others,skills
risk analyst,Analyst-Risk Management,American Express,"New York, NY (Hybrid)","New York, NY",2 days ago,"$55,000/yr - $105,000/yr (from job description)","['$55K/yr - $105K/yr', 'Hybrid', 'Full-time', 'Entry level']","['Data Analytics', 'SAS (Software)', 'Communication', 'Credit Risk Management', 'Economics', 'Financial Coaching', 'Fraud Prevention', 'Hive', 'Problem Solving', 'Risk Analysis']"
risk analyst,Summer Internship - Model Risk Analyst,Federal Home Loan Bank of Chicago,"Chicago, IL (Hybrid)","Chicago, IL",2 weeks ago,0,"['Hybrid', 'Part-time', 'Internship']","['Data Analytics', 'Analytical Skills', 'Credit Risk Management', 'Economics', 'Financial Risk Management', 'Fixed-Income Investing', 'Model Risk', 'Model Validation', 'Risk Analysis', 'Securities']"
risk analyst,Risk Analyst Graduate Program 2025 New York City,Barclays,"New York, NY","New York, NY",2 weeks ago,"$100,000/yr (from job description)","['$100K/yr', 'Internship', 'Associate']","['Analytical Skills', 'Attention to Detail', 'Communication', 'Market Risk', 'Presentations', 'Problem Solving', 'Ratings', 'Regulations', 'Risk Analysis', 'Risk Management']"
risk analyst,Trading Analyst Intern,Group One Trading,"Chicago, IL (On-site)","Chicago, IL",1 month ago,0,"['On-site', 'Internship', 'Internship']","['Analytical Skills', 'Communication', 'Data Analysis', 'Finance', 'Game Theory', 'Mathematics', 'Problem Solving', 'Quantitative Finance', 'Teamwork', 'Visual Basic for Applications (VBA)']"
risk analyst,Enterprise Risk Analyst I,Eastern Bank,"Lynn, MA (Hybrid)","Lynn, MA",3 weeks ago,0,"['Hybrid', 'Full-time', 'Associate']","['SAS (Software)', 'Database Tools', 'Enterprise Risk Management', 'Financial Risk Management', 'Market Risk', 'Model Risk', 'Model Validation', 'Organization Skills', 'Risk Analysis', 'Risk Reviews']"
risk analyst,Risk Management | Analyst | Salt Lake City,Goldman Sachs,"Salt Lake City, UT","Salt Lake City, UT",Reposted 6 days ago,0,"['Full-time', 'Entry level']","['Attention to Detail', 'Communication', 'Credit Risk Management', 'Liquidity Risk Management', 'Market Risk', 'Microsoft Outlook', 'Project Management', 'Reputational Risk', 'Risk Analysis', 'Sensitive Information']"
risk analyst,Quantitative Market Risk Analyst Intern,Cboe Global Markets,"Chicago, IL","Chicago, IL",Reposted 5 days ago,0,"['Full-time', 'Internship']","['Communication', 'Computer Science', 'Financial Engineering', 'Financing', 'GitHub', 'Market Data', 'Market Risk', 'Quantitative Analytics', 'Quantitative Finance', 'SQL']"
risk analyst,Quantitative Risk Analyst Intern,USAA,"San Antonio, TX (On-site)","San Antonio, TX",Reposted 2 weeks ago,0,"['On-site', 'Internship', 'Internship']","['Communication', 'Compliance Procedures', 'Mathematics', 'Model Validation', 'Modeling', 'Presentations', 'Problem Solving', 'Quantitative Analytics', 'Quantitative Risk', 'Statistical Analysis']"
risk analyst,Catastrophe Risk Analyst Intern,Howden Re,"Edina, MN (On-site)","Edina, MN",3 weeks ago,0,"['On-site', 'Internship', 'Internship']","['Data Analytics', 'Analytical Skills', 'Analytics', 'Attention to Detail', 'Catastrophe Insurance', 'Computer Science', 'Model Validation', 'Presentations', 'Risk Analysis', 'Scientific Papers']"
risk analyst,"Financial Analyst 3-Month Summer Intern (Armonk, NY): 2025",IBM,"Armonk, NY","Armonk, NY",1 week ago,0,['Full-time'],"['Data Analytics', 'Communication', 'Divestitures', 'Finance', 'Financial Planning', 'Financing', 'Myriad', 'Sponsorship', 'Strategic Financial Management', 'Written Communication']"
risk analyst,Equities Risk Analyst,Soros Fund Management,"New York, United States (On-site)","New York, United States",Reposted 3 days ago,"$125,000/yr - $175,000/yr (from job description)","['$125K/yr - $175K/yr', 'On-site', 'Full-time', 'Mid-Senior level']","['Analytical Skills', 'Attention to Detail', 'Communication', 'Finance', 'Financial Instruments', 'Problem Solving', 'Quantitative Analytics', 'Risk Analysis', 'Risk Management', 'Statistics']"
risk analyst,Investments Quantitative Analyst Intern,Allstate,"Chicago, IL (Hybrid)","Chicago, IL",23 applicants,$23/hr - $32/hr (from job description),"['$23/hr - $32/hr', 'Hybrid', 'Full-time', 'Internship']","['Communication', 'Customer-Focused Selling', 'Data Science', 'Digital Literacy', 'Presentations', 'Quantitative Finance', 'Quantitative Research', 'Statistical Analysis', 'Statistics', 'Strategic Thinking']"
risk analyst,"Risk, Market Risk, Analyst",Goldman Sachs,"New York, NY","New York, NY",1 day ago,0,"['Full-time', 'Entry level']","['CCAR', 'Financial Instruments', 'Greeks', 'Liquidity', 'Liquidity Risk Management', 'Market Risk', 'Risk Analysis', 'Risk Management', 'Stress Testing', 'Transferable Skills']"
