search_key,job_name,company_name,job_location,location,post_time,salary,others,skills
sales,Account Executive – Nutraceutical Contract Manufacturing,NutraStar,"Farmingdale, NJ (On-site)","Farmingdale, NJ",5 days ago,0,"['On-site', 'Full-time']","['Account Management', 'Business Development', 'Marketing', 'Negotiation', 'New Business Development', 'Sales Operations', 'Sales Processes', 'Team Leadership', 'Teamwork', 'Time Management']"
sales,Specification Sales,Bell & McCoy Companies,"New Orleans, LA (On-site)","New Orleans, LA",3 days ago,0,"['On-site', 'Full-time']","['Account Management', 'Architectural Lighting', 'Contract Negotiation', 'LED Lighting Systems', 'Lighting', 'Lighting Control', 'Sales', 'Sales Management', 'Specifications', 'Stage Lighting Design']"
sales,Architectural Sales Representative- Hospitality,Bodaq Finishes LLC,"Springfield, Massachusetts Metropolitan Area (On-site)","Springfield, Massachusetts Metropolitan Area",1 day ago,0,"['On-site', 'Full-time']","['Business-to-Business (B2B)', 'Hospitality Industry', 'Interior Design', 'Interpersonal Skills', 'Negotiation', 'Presentations', 'Product Specification', 'Refurbishments', 'Revenue Generation', 'Sales']"
sales,Sales Representative (Entry Level),3MP Atlanta,"Atlanta, GA (On-site)","Atlanta, GA",2 days ago,0,"['On-site', 'Full-time']","['Coaching', 'Communication', 'Critical Thinking', 'Executive Coaching', 'Presentations', 'Problem Solving', 'Retail Sales', 'Sales', 'Sales Operations', 'Sales Presentations']"
sales,Entry Level Sales,"Eastern Lift Truck Co., Inc.","Wilmington, DE (On-site)","Wilmington, DE",2 days ago,"$55,000/yr - $60,000/yr","['$55K/yr - $60K/yr', 'On-site', 'Full-time']","['Compensation', 'Employee Benefits', 'Hunter', 'Material Handling', 'Microsoft Office', 'Relationship Development', 'Sales', 'Sales Management', 'Sales Strategy', 'VBA Excel']"
sales,Sales Account Executive,Lamar Advertising Company,"Wilmington, DE (On-site)","Wilmington, DE",1 day ago,"$66,000/yr - $90,000/yr","['$66K/yr - $90K/yr', 'On-site', 'Full-time', 'Entry level']","['Advertising Sales', 'Billboards', 'Cold Calling', 'Digital Billboards', 'Face-to-Face Sales', 'Murals', 'Personality Assessment', 'Presentations', 'Sales Meetings', 'Sales Target Management']"
sales,Territory Sales Manager,Cantrip,Greater Milwaukee (On-site),Greater Milwaukee,2 days ago,"$50,000/yr - $60,000/yr","['$50K/yr - $60K/yr + Bonus', 'On-site', 'Full-time']","['Business Relationship Management', 'Client Relations', 'Customer Satisfaction', 'Lead Generation', 'Sales Processes', 'Trade Shows']"
sales,Client Sales Representative,Three Crowns Marketing,"Tulsa, OK (On-site)","Tulsa, OK",5 days ago,0,"['On-site', 'Full-time']","['Account Management', 'Communication', 'Investment Properties', 'Negotiation', 'Real Estate', 'Retail', 'Sales Management', 'Team Leadership', 'Teamwork', 'Time Management']"
sales,Sales Analyst,Joseph's Bakery,Greater Boston (On-site),Greater Boston,5 days ago,0,"['On-site', 'Full-time']","['Analytical Skills', 'Critical Thinking', 'Data Analysis', 'Excel Formulas', 'Key Performance Indicators', 'Nielsen Data', 'Problem Solving', 'Retail Math', 'Sales and Marketing', 'Strategic Planning']"
sales,Outside Sales Representative,Bluebird Portraits,"Lake Orion, MI (On-site)","Lake Orion, MI",1 day ago,"Starting at $35,000/yr","['Starting at $35K/yr + Commission', 'On-site', 'Full-time']","['Communication', 'Customer Satisfaction', 'Direct Sales', 'Lead Generation', 'Negotiation', 'Sales', 'Sales Presentations']"
