search_key,job_name,company_name,job_location,location,post_time,salary,others,skills
sales,Sales Representative,Clemson University,"Clemson, SC (On-site)","Clemson, SC",1 applicant,0,"['On-site', 'Full-time', 'Mid-Senior level']","['Budgetary Responsibilities', 'Closure', 'Customer Satisfaction', 'Directives', 'Emergency Situations', 'Inventory Control', 'Retail Management', 'Retail Sales', 'Sales Processes', 'Stationery']"
sales,Energy Markets Intern,Enel North America,United States (Remote),United States,9 applicants,0,"['Remote', 'Full-time', 'Internship']","['Business Transactions', 'Customer Data', 'Customer Experience Management', 'Demand Response', 'Energy Audits', 'Energy Efficiency', 'Energy Markets', 'Financial Operations', 'Problem Solving', 'Renewable Energy']"
sales,Urban Outfitters Sales Associate,Urban Outfitters,"Washington, DC","Washington, DC",8 applicants,0,['Part-time'],"['Account Management', 'Branding', 'Communication', 'Customer Service', 'Inventory Accuracy', 'Negotiation', 'Point of Sale (POS) Systems', 'Product Knowledge', 'Retail Sales', 'Sales Operations']"
sales,Entry level Sales and Marketing,"Pacific Acquisitions, Inc.","Los Angeles, CA (On-site)","Los Angeles, CA",16 applicants,"Up to $70,000/yr","['Up to $70K/yr', 'On-site', 'Full-time', 'Entry level']","['Communication', 'Customer Service', 'Leadership Development', 'Marketing', 'Sales']"
sales,Full Time Retail Associate Manhattan,Sun Tan City,"Manhattan, KS (On-site)","Manhattan, KS",1 applicant,0,"['On-site', 'Full-time', 'Entry level']","['Computer Literacy', 'Customer Satisfaction', 'Customer Service', 'Interpersonal Skills', 'Inventory Management', 'Phone Etiquette', 'Problem Solving', 'Sales', 'Skilled Multi-tasker', 'Teamwork']"
sales,Account Manager (Entry-Level),Three Crowns Marketing,"Tulsa, OK (On-site)","Tulsa, OK",4 days ago,0,"['On-site', 'Full-time']","['Account Management', 'Communication', 'Customer Relations', 'Customer Relationship Management (CRM)', 'Interpersonal Communication', 'Leadership', 'Marketing', 'Product Knowledge', 'Quotas', 'Sales']"
sales,"Sales Associate, State College",LOFT,"State College, PA (On-site)","State College, PA",0 applicants,0,"['On-site', 'Part-time', 'Entry level']","['Account Management', 'Brand Awareness', 'Brand Loyalty', 'Communication', 'Customer-Focused Service', 'Negotiation', 'Personal Services', 'Product Knowledge', 'Retail', 'Sales Operations']"
sales,Entry Level Marketing & Sales Assistant,Liberty Consulting and Management,"Manhattan, NY (On-site)","Manhattan, NY",8 applicants,0,"['On-site', 'Full-time', 'Entry level']","['Communication', 'Customer Interaction', 'Customer Satisfaction', 'Customer Service', 'Interpersonal Skills', 'Organization Skills', 'Problem Solving', 'Product Knowledge', 'Sales Operations', 'Sales and Marketing']"
sales,"Retail Sales Consultant - ITHACA, NY (ITHACA)",AT&T,"Ithaca, NY","Ithaca, NY",0 applicants,0,['Full-time'],"['Consultative Selling', 'Customer Experience', 'Customer Satisfaction', 'Interpersonal Skills', 'Negotiation', 'Problem Solving', 'Retail Sales', 'Sales Consulting', 'Sales Processes', 'Teamwork']"
sales,"Temporary Seasonal Sales Support Associate, Washington, D.C.",Hermès,"Washington, DC","Washington, DC",4 applicants,0,"['Temporary', 'Entry level']","['After-Sales', 'Boutique', 'Communication', 'Customer Service', 'Customer Support', 'Organization Skills', 'Phone Etiquette', 'Point of Sale (POS) Systems', 'Sales Operations', 'Service Levels']"
sales,Sales Development Representative,Swooped,United States (Remote),United States,Over 100 applicants,"$80,000/yr - $100,000/yr (from job description)","['$80K/yr - $100K/yr', 'Remote', 'Full-time', 'Entry level']","['Account Executives', 'Cold Calling', 'Communication', 'Creative Problem Solving', 'Lead Qualification', 'Problem Solving', 'Sales Development', 'Social Outreach', 'Sustainability Disclosure Requirement (SDR)', 'Workload Prioritization']"
sales,Verizon Sales Consultant,Cellular Sales,"Fredonia, NY (On-site)","Fredonia, NY",0 applicants,0,"['On-site', 'Full-time', 'Entry level']","['Cellular Communications', 'Customer Satisfaction', 'Customer Service', 'Interpersonal Skills', 'Leadership', 'Negotiation', 'Retail Sales', 'Sales Consulting', 'Sales Management', 'Wireless Technologies']"
sales,Account Representative Entry Level,Skyline Visions Inc,"Phoenix, AZ (On-site)","Phoenix, AZ",5 days ago,0,"['On-site', 'Full-time']","['Business-to-Business (B2B)', 'Cold Calling', 'Customer Satisfaction', 'Direct Sales', 'Marketing', 'Negotiation', 'Sales Operations', 'Sales Processes', 'Salesforce.com', 'Teamwork']"
sales,Client Sales Representative,Three Crowns Marketing,"Tulsa, OK (On-site)","Tulsa, OK",4 days ago,0,"['On-site', 'Full-time']","['Account Management', 'Communication', 'Investment Properties', 'Negotiation', 'Real Estate', 'Retail', 'Sales Management', 'Team Leadership', 'Teamwork', 'Time Management']"
sales,Verizon Sales Consultant,Cellular Sales,"Christiansburg, VA (On-site)","Christiansburg, VA",0 applicants,0,"['On-site', 'Full-time', 'Entry level']","['Cellular Communications', 'Customer Service', 'Interpersonal Communication', 'Interpersonal Skills', 'Leadership', 'Negotiation', 'Retail Sales', 'Sales Consulting', 'Sales Management', 'Wireless Technologies']"
sales,Retail Sales Consultant - LUBBOCK CANYON WEST,AT&T,"Lubbock, TX","Lubbock, TX",0 applicants,0,['Full-time'],"['Consultative Selling', 'Customer Experience', 'Customer Satisfaction', 'Interpersonal Skills', 'Negotiation', 'Retail Sales', 'Sales Consulting', 'Sales Processes', 'Spanish-speaking', 'Teamwork']"
sales,Energy Markets Intern,Enel North America,United States (Remote),United States,10 applicants,$22/hr (from job description),"['$22/hr', 'Remote', 'Full-time', 'Internship']","['Business Transactions', 'Customer Data', 'Customer Experience Management', 'Demand Response', 'Energy Audits', 'Energy Efficiency', 'Energy Markets', 'Financial Operations', 'Problem Solving', 'Renewable Energy']"
sales,Verizon Sales Consultant,Cellular Sales,"Little Rock, AR (On-site)","Little Rock, AR",0 applicants,"$48,000/yr - $86,000/yr (from job description)","['$48K/yr - $86K/yr', 'On-site', 'Full-time', 'Entry level']","['Cellular Communications', 'Computer Literacy', 'Customer Service', 'Interpersonal Skills', 'Leadership', 'Negotiation', 'Retail Sales', 'Sales Consulting', 'Sales Management', 'Wireless Technologies']"
sales,Sales & Marketing Representative | Entry Level,North Inc,"St Louis, MO (Hybrid)","St Louis, MO",5 days ago,0,"['Hybrid', 'Full-time']","['Communication', 'Lead Generation', 'Marketing', 'Problem Solving', 'Sales', 'Sales Presentations', 'Sales and Marketing', 'Social Media Marketing', 'Teamwork', 'Time Management']"
sales,Hiring Event - Part Time Associate Banker Oklahoma North Market (30 hours),JPMorganChase,"Tulsa, OK","Tulsa, OK",0 applicants,0,['Full-time'],"['Cash Handling', 'Client Relations', 'Communication', 'Critical Thinking', 'Customer Experience', 'Customer Service', 'Debit Cards', 'Deposits', 'Problem Solving', 'Product Knowledge']"
sales,Verizon Sales Consultant,Cellular Sales,"Newton, MA (On-site)","Newton, MA",0 applicants,"$59,000/yr - $117,000/yr (from job description)","['$59K/yr - $117K/yr', 'On-site', 'Full-time', 'Entry level']","['Cellular Communications', 'Computer Literacy', 'Customer Service', 'Interpersonal Skills', 'Leadership', 'Negotiation', 'Retail Sales', 'Sales Consulting', 'Sales Management', 'Wireless Technologies']"
sales,Wireless Retail Sales Associate - W1726,OSL Retail Services,"Harrisonburg, VA (On-site)","Harrisonburg, VA",0 applicants,$13/hr - $30/hr (from job description),"['$13/hr - $30/hr', 'On-site', 'Full-time', 'Entry level']","['Accessories', 'Activations', 'Communication', 'Customer Service', 'Independent Contributor', 'Retail Sales', 'Sales', 'Target Market Selling', 'Wireless Engineering', 'Wireless Technologies']"
sales,Entry Level Sales Opportunity,Renuity,"Lawton, OK (On-site)","Lawton, OK",1 day ago,"$50,000/yr - $60,000/yr (from job description)","['$50K/yr - $60K/yr', 'On-site', 'Full-time', 'Entry level']","['Big Box', 'Consultations', 'Customer Experience', 'Customer Satisfaction', 'Customer Service', 'Direct Sales', 'Negotiation', 'Remodeling', 'Sales Operations', 'Sales Processes']"
